iter	RMSE
0	21817.19707
1	20745.6748
2	19899.96101
3	19138.87906
4	18481.03269
5	17937.75728
6	17387.90349
7	16940.5551
8	16564.8479
9	16167.95208
10	15849.87928
11	15567.36845
12	15274.01813
13	14978.54121
14	14753.14598
15	14518.01614
16	14293.94917
17	14096.56594
18	13932.35407
19	13777.60656
20	13611.51462
21	13451.95358
22	13299.79523
23	13167.08164
24	13040.35766
25	12942.09636
26	12823.57204
27	12721.41875
28	12620.08539
29	12532.21782
30	12464.425
31	12388.18851
32	12297.91141
33	12234.68869
34	12180.35202
35	12099.14647
36	12031.05601
37	11969.54812
38	11884.65833
39	11827.62018
40	11738.52991
41	11688.63158
42	11632.95529
43	11592.76865
44	11535.55848
45	11482.48658
46	11428.7617
47	11374.40102
48	11336.64633
49	11306.20588
50	11225.46724
51	11186.68575
52	11150.24816
53	11105.06927
54	11067.70187
55	11012.75465
56	10979.06211
57	10934.83879
58	10902.93638
59	10865.27174
60	10823.14814
61	10778.26721
62	10749.0023
63	10716.34775
64	10685.0323
65	10650.75685
66	10618.24909
67	10587.76248
68	10560.60956
69	10522.80531
70	10484.21413
71	10458.75998
72	10427.74368
73	10397.7771
74	10375.0295
75	10343.04554
76	10323.78827
77	10299.13744
78	10271.16441
79	10245.7371
80	10223.22318
81	10205.92608
82	10184.28627
83	10164.23797
84	10147.09457
85	10103.70827
86	10083.17141
87	10063.01913
88	10046.66418
89	10036.0404
90	10015.31658
91	9997.55945
92	9978.295303
93	9961.275411
94	9942.252302
95	9930.080358
96	9914.940673
97	9897.012191
98	9877.728875
99	9856.461158
100	9825.464151
101	9810.613646
102	9796.768479
103	9781.056232
104	9763.067522
105	9741.080016
106	9726.147638
107	9712.408386
108	9692.598986
109	9680.720884
110	9671.484209
111	9660.80661
112	9649.871175
113	9635.618376
114	9625.304796
115	9614.167891
116	9602.45184
117	9587.7419
118	9574.241705
119	9563.714498
120	9553.456857
121	9539.04537
122	9525.250951
123	9513.750733
124	9500.402062
125	9485.736235
126	9476.605461
127	9466.346919
128	9456.409939
129	9448.069803
130	9435.836607
131	9428.483641
132	9414.298961
133	9401.81384
134	9389.49712
135	9384.121912
136	9375.765145
137	9362.299548
138	9349.956052
139	9340.072499
140	9327.469367
141	9316.461507
142	9305.939943
143	9299.12091
144	9292.410144
145	9282.229576
146	9273.293055
147	9261.366564
148	9248.565408
149	9239.405112
150	9228.182676
151	9219.991423
152	9205.428271
153	9195.095932
154	9183.223606
155	9172.050174
156	9165.041375
157	9160.605613
158	9154.803551
159	9146.151182
160	9139.094665
161	9131.547266
162	9126.019154
163	9118.917092
164	9107.799932
165	9098.340081
166	9088.671499
167	9078.404472
168	9071.410774
169	9060.74759
170	9054.135943
171	9046.680331
172	9041.626524
173	9033.677513
174	9029.65835
175	9020.03157
176	9012.202881
177	9008.313508
178	8998.545814
179	8988.792459
180	8979.769301
181	8970.819637
182	8964.247828
183	8955.879032
184	8949.08463
185	8939.540383
186	8932.001748
187	8923.650534
188	8918.190203
189	8910.04309
190	8904.633505
191	8896.702239
192	8887.444369
193	8880.525157
194	8873.393892
195	8866.639331
196	8858.426805
197	8851.612608
198	8846.579928
199	8843.14902
200	8836.989733
201	8831.807554
202	8826.926531
203	8822.255885
204	8814.050318
205	8807.779161
206	8803.036157
207	8797.137816
208	8790.895639
209	8784.363927
210	8779.192681
211	8771.979091
212	8766.240978
213	8757.960842
214	8754.240316
215	8748.211889
216	8743.885603
217	8737.458072
218	8731.09264
219	8723.302071
220	8717.452399
221	8709.516401
222	8702.713533
223	8698.107687
224	8690.101248
225	8684.837812
226	8678.249246
227	8674.311653
228	8668.867209
229	8663.317363
230	8657.089499
231	8652.341527
232	8647.633168
233	8643.005459
234	8639.227125
235	8635.660758
236	8630.151567
237	8625.362744
238	8621.689222
239	8614.256671
240	8607.825246
241	8603.052845
242	8597.447751
243	8591.093291
244	8585.724627
245	8582.015272
246	8578.037694
247	8572.985599
248	8570.474669
249	8567.148468
250	8563.609405
251	8559.696636
252	8553.169908
253	8545.883224
254	8542.485713
255	8534.612391
256	8527.95348
257	8524.005196
258	8518.891464
259	8515.204932
260	8509.35902
261	8505.357583
262	8499.733836
263	8495.343308
264	8488.091861
265	8482.728273
266	8477.784889
267	8472.755264
268	8468.674774
269	8464.713504
270	8459.799163
271	8455.284802
272	8449.633741
273	8443.794123
274	8437.989234
275	8429.813319
276	8426.649363
277	8422.859827
278	8418.471145
279	8415.39978
280	8411.489536
281	8408.143275
282	8404.714268
283	8401.77681
284	8398.124435
285	8395.271983
286	8391.79431
287	8387.525285
288	8383.848381
289	8380.44519
290	8378.512487
291	8375.33651
292	8371.640073
293	8366.287442
294	8362.434841
295	8357.183276
296	8353.988297
297	8348.294738
298	8343.640343
299	8340.206104
300	8336.343547
301	8331.214213
302	8326.555176
303	8322.150185
304	8317.956148
305	8313.849751
306	8309.832734
307	8305.865812
308	8302.175398
309	8299.174951
310	8295.931593
311	8292.129963
312	8289.508203
313	8286.992722
314	8284.734165
315	8280.428032
316	8277.428877
317	8275.46067
318	8272.171918
319	8268.065288
320	8263.950175
321	8259.328346
322	8255.599128
323	8252.430093
324	8249.566243
325	8246.088523
326	8243.156741
327	8240.817695
328	8236.920288
329	8232.228859
330	8227.987667
331	8225.758515
332	8223.017083
333	8219.901487
334	8216.750628
335	8214.021607
336	8212.637787
337	8209.361011
338	8205.163522
339	8203.067217
340	8201.08072
341	8199.539731
342	8195.75524
343	8190.252189
344	8187.752312
345	8185.235948
346	8183.15612
