iter	Passed	Remaining
0	64	64626
1	116	58288
2	157	52275
3	186	46414
4	217	43286
5	249	41321
6	278	39477
7	312	38704
8	354	38980
9	396	39229
10	438	39431
11	486	40068
12	540	41057
13	595	41954
14	646	42482
15	692	42587
16	759	43912
17	818	44631
18	876	45279
19	927	45453
20	992	46274
21	1048	46623
22	1118	47517
23	1174	47747
24	1243	48488
25	1291	48367
26	1340	48301
27	1385	48104
28	1443	48323
29	1505	48672
30	1556	48654
31	1611	48747
32	1661	48700
33	1720	48879
34	1772	48861
35	1830	49025
36	1885	49063
37	1944	49231
38	2009	49515
39	2064	49549
40	2119	49582
41	2176	49648
42	2234	49723
43	2285	49663
44	2342	49722
45	2426	50328
46	2483	50364
47	2539	50365
48	2604	50551
49	2665	50639
50	2725	50713
51	2792	50914
52	2848	50901
53	2898	50782
54	2964	50931
55	3031	51108
56	3098	51262
57	3167	51438
58	3230	51521
59	3294	51617
60	3351	51587
61	3424	51814
62	3493	51955
63	3563	52117
64	3638	52343
65	3706	52455
66	3774	52568
67	3831	52519
68	3914	52814
69	3992	53041
70	4433	58006
71	4530	58395
72	4607	58506
73	4700	58821
74	4782	58984
75	4863	59125
76	4936	59176
77	5002	59136
78	5071	59124
79	5141	59125
80	5196	58953
81	5329	59664
82	5596	61836
83	5730	62485
84	5870	63194
85	5968	63435
86	6092	63939
87	6423	66574
88	6581	67366
89	6668	67427
90	6757	67498
91	6824	67352
92	6892	67216
93	6966	67146
94	7033	67004
95	7092	66790
96	7193	66970
97	7569	69671
98	7898	71884
99	8125	73126
100	8308	73950
101	8428	74200
102	8525	74243
103	8619	74263
104	8711	74259
105	8821	74398
106	8938	74599
107	9006	74390
108	9079	74216
109	9175	74236
110	9554	76518
111	9732	77163
112	9823	77109
113	9912	77035
114	10007	77014
115	10079	76814
116	10156	76648
117	10234	76495
118	10314	76362
119	10389	76189
120	10475	76102
121	10552	75942
122	10640	75870
123	10730	75808
124	10814	75702
125	10899	75606
126	10989	75540
127	11065	75382
128	11133	75172
129	11201	74965
130	11282	74844
131	11363	74721
132	11446	74614
133	11517	74432
134	11596	74304
135	11671	74146
136	11738	73946
137	11822	73845
138	11896	73688
139	11957	73450
140	12038	73343
141	12112	73184
142	12192	73072
143	12265	72913
144	12337	72751
145	12429	72705
146	12517	72636
147	12592	72493
148	12668	72357
149	12748	72242
150	12817	72068
151	12885	71885
152	12960	71746
153	13030	71582
154	13098	71409
155	13164	71224
156	13233	71054
157	13304	70900
158	13377	70755
159	13454	70635
160	13518	70448
161	13585	70277
162	13665	70173
163	13733	70007
164	13800	69840
165	13867	69670
166	13945	69562
167	14016	69413
168	14085	69259
169	14161	69142
170	14234	69008
171	14305	68868
172	14373	68710
173	14435	68526
174	14510	68407
175	14579	68260
176	14647	68105
177	14715	67957
178	14780	67794
179	14849	67647
180	14920	67511
181	14995	67398
182	15065	67258
183	15140	67146
184	15222	67062
185	15297	66947
186	15392	66919
187	15469	66816
188	15551	66733
189	15641	66683
190	15722	66593
191	15803	66504
192	15887	66431
193	15958	66301
194	16034	66195
195	16117	66112
196	16200	66033
197	16271	65907
198	16346	65798
199	16429	65719
200	16494	65567
201	16575	65482
202	16664	65427
203	16743	65333
204	16825	65250
205	16902	65147
206	16981	65056
207	17075	65019
208	17160	64948
209	17244	64874
210	17334	64818
211	17428	64783
212	17511	64703
213	17589	64606
214	17678	64547
215	17763	64476
216	17859	64440
217	17937	64343
218	18005	64210
219	18071	64071
220	18152	63984
221	18237	63914
222	18328	63861
223	18399	63741
224	18480	63656
225	18559	63563
226	18653	63522
227	18745	63472
